日期,国家,确诊人数,治愈人数,死亡人数,新增确诊,新增死亡,现有确诊
5月1日,法国,129581,49476,24376,1139,289,80105
5月2日,法国,130185,50212,24594,604,218,79973
5月3日,法国,130979,50562,24760,794,166,80417
5月4日,法国,131287,50784,24895,308,135,80503
5月5日,法国,131863,51371,25201,576,306,80492
5月6日,法国,132967,52736,25531,1104,330,80231
5月7日,法国,137150,53972,25809,4183,278,83178
5月8日,法国,137779,55027,25987,629,178,82752
5月9日,法国,138421,55782,26230,642,243,82639
5月10日,法国,138854,56038,26310,433,80,82816
5月11日,法国,139063,56217,26380,209,70,82846
5月12日,法国,139519,56724,26643,456,263,82795
5月13日,法国,140227,57785,26991,708,348,82442
5月14日,法国,140734,58673,27074,507,83,82061
5月15日,法国,141356,59605,27425,622,351,81751
5月16日,法国,141919,60448,27529,563,104,81471
5月17日,法国,142291,61066,27625,372,96,81225
5月18日,法国,142411,61213,27891,120,266,81198
5月19日,法国,142903,61728,28022,492,131,81175
5月20日,法国,143427,62563,28022,524,0,80864
5月21日,法国,143845,63354,28132,418,110,80491
5月22日,法国,144163,63858,28215,318,83,80305
5月23日,法国,144556,64209,28289,393,74,80347
5月24日,法国,144806,64547,28332,250,43,80259
5月25日,法国,144921,64617,28367,115,35,80304
5月26日,法国,145279,65199,28457,358,90,80080
5月27日,法国,145555,65879,28530,276,73,79676
5月28日,法国,145746,66584,28596,191,66,79162
5月29日,法国,149071,67191,28662,3325,66,81880
